Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[1024]	
[0]	55	0x20000000	uint16_t	
[1]	69	0x20000002	uint16_t	
[2]	83	0x20000004	uint16_t	
[3]	96	0x20000006	uint16_t	
[4]	106	0x20000008	uint16_t	
[5]	128	0x2000000A	uint16_t	
[6]	76	0x2000000C	uint16_t	
[7]	87	0x2000000E	uint16_t	
[8]	116	0x20000010	uint16_t	
[9]	147	0x20000012	uint16_t	
[10]	111	0x20000014	uint16_t	
[11]	152	0x20000016	uint16_t	
[12]	112	0x20000018	uint16_t	
[13]	132	0x2000001A	uint16_t	
[14]	91	0x2000001C	uint16_t	
[15]	107	0x2000001E	uint16_t	
[16]	132	0x20000020	uint16_t	
[17]	91	0x20000022	uint16_t	
[18]	107	0x20000024	uint16_t	
[19]	132	0x20000026	uint16_t	
[20]	91	0x20000028	uint16_t	
[21]	107	0x2000002A	uint16_t	
[22]	132	0x2000002C	uint16_t	
[23]	91	0x2000002E	uint16_t	
[24]	107	0x20000030	uint16_t	
[25]	132	0x20000032	uint16_t	
[26]	91	0x20000034	uint16_t	
[27]	108	0x20000036	uint16_t	
[28]	135	0x20000038	uint16_t	
[29]	108	0x2000003A	uint16_t	
[30]	135	0x2000003C	uint16_t	
[31]	108	0x2000003E	uint16_t	
[32]	136	0x20000040	uint16_t	
[33]	88	0x20000042	uint16_t	
[34]	96	0x20000044	uint16_t	
[35]	106	0x20000046	uint16_t	
[36]	128	0x20000048	uint16_t	
[37]	76	0x2000004A	uint16_t	
[38]	87	0x2000004C	uint16_t	
[39]	116	0x2000004E	uint16_t	
[40]	146	0x20000050	uint16_t	
[41]	107	0x20000052	uint16_t	
[42]	131	0x20000054	uint16_t	
[43]	88	0x20000056	uint16_t	
[44]	96	0x20000058	uint16_t	
[45]	107	0x2000005A	uint16_t	
[46]	132	0x2000005C	uint16_t	
[47]	91	0x2000005E	uint16_t	
[48]	108	0x20000060	uint16_t	
[49]	134	0x20000062	uint16_t	
[50]	104	0x20000064	uint16_t	
[51]	119	0x20000066	uint16_t	
[52]	164	0x20000068	uint16_t	
[53]	138	0x2000006A	uint16_t	
[54]	96	0x2000006C	uint16_t	
[55]	107	0x2000006E	uint16_t	
[56]	131	0x20000070	uint16_t	
[57]	88	0x20000072	uint16_t	
[58]	96	0x20000074	uint16_t	
[59]	107	0x20000076	uint16_t	
[60]	131	0x20000078	uint16_t	
[61]	89	0x2000007A	uint16_t	
[62]	98	0x2000007C	uint16_t	
[63]	115	0x2000007E	uint16_t	
[64]	144	0x20000080	uint16_t	
[65]	99	0x20000082	uint16_t	
[66]	119	0x20000084	uint16_t	
[67]	164	0x20000086	uint16_t	
[68]	139	0x20000088	uint16_t	
[69]	99	0x2000008A	uint16_t	
[70]	119	0x2000008C	uint16_t	
[71]	164	0x2000008E	uint16_t	
[72]	138	0x20000090	uint16_t	
[73]	96	0x20000092	uint16_t	
[74]	107	0x20000094	uint16_t	
[75]	130	0x20000096	uint16_t	
[76]	84	0x20000098	uint16_t	
[77]	98	0x2000009A	uint16_t	
[78]	114	0x2000009C	uint16_t	
[79]	138	0x2000009E	uint16_t	
[80]	96	0x200000A0	uint16_t	
[81]	107	0x200000A2	uint16_t	
[82]	132	0x200000A4	uint16_t	
[83]	91	0x200000A6	uint16_t	
[84]	107	0x200000A8	uint16_t	
[85]	131	0x200000AA	uint16_t	
[86]	89	0x200000AC	uint16_t	
[87]	99	0x200000AE	uint16_t	
[88]	119	0x200000B0	uint16_t	
[89]	163	0x200000B2	uint16_t	
[90]	136	0x200000B4	uint16_t	
[91]	88	0x200000B6	uint16_t	
[92]	96	0x200000B8	uint16_t	
[93]	106	0x200000BA	uint16_t	
[94]	128	0x200000BC	uint16_t	
[95]	76	0x200000BE	uint16_t	
[96]	87	0x200000C0	uint16_t	
[97]	116	0x200000C2	uint16_t	
[98]	146	0x200000C4	uint16_t	
[99]	107	0x200000C6	uint16_t	
[100]	131	0x200000C8	uint16_t	
[101]	89	0x200000CA	uint16_t	
[102]	98	0x200000CC	uint16_t	
[103]	115	0x200000CE	uint16_t	
[104]	144	0x200000D0	uint16_t	
[105]	99	0x200000D2	uint16_t	
[106]	119	0x200000D4	uint16_t	
[107]	164	0x200000D6	uint16_t	
[108]	138	0x200000D8	uint16_t	
[109]	96	0x200000DA	uint16_t	
[110]	107	0x200000DC	uint16_t	
[111]	131	0x200000DE	uint16_t	
[112]	88	0x200000E0	uint16_t	
[113]	96	0x200000E2	uint16_t	
[114]	106	0x200000E4	uint16_t	
[115]	128	0x200000E6	uint16_t	
[116]	76	0x200000E8	uint16_t	
[117]	88	0x200000EA	uint16_t	
