Expression	Value	Location	Type	
Xnormal	Error (col 1): Unknown or ambiguous symbol. Xnormal			
ADC_buffer1	<array>	0x20000000	uint16_t[3000]	
[0]	57	0x20000000	uint16_t	
[1]	52	0x20000002	uint16_t	
[2]	53	0x20000004	uint16_t	
[3]	59	0x20000006	uint16_t	
[4]	61	0x20000008	uint16_t	
[5]	71	0x2000000A	uint16_t	
[6]	92	0x2000000C	uint16_t	
[7]	111	0x2000000E	uint16_t	
[8]	152	0x20000010	uint16_t	
[9]	112	0x20000012	uint16_t	
[10]	131	0x20000014	uint16_t	
[11]	89	0x20000016	uint16_t	
[12]	100	0x20000018	uint16_t	
[13]	122	0x2000001A	uint16_t	
[14]	150	0x2000001C	uint16_t	
[15]	128	0x2000001E	uint16_t	
[16]	76	0x20000020	uint16_t	
[17]	87	0x20000022	uint16_t	
[18]	115	0x20000024	uint16_t	
[19]	144	0x20000026	uint16_t	
[20]	100	0x20000028	uint16_t	
[21]	122	0x2000002A	uint16_t	
[22]	150	0x2000002C	uint16_t	
[23]	128	0x2000002E	uint16_t	
[24]	76	0x20000030	uint16_t	
[25]	88	0x20000032	uint16_t	
[26]	95	0x20000034	uint16_t	
[27]	128	0x20000036	uint16_t	
[28]	76	0x20000038	uint16_t	
[29]	87	0x2000003A	uint16_t	
[30]	116	0x2000003C	uint16_t	
[31]	146	0x2000003E	uint16_t	
[32]	106	0x20000040	uint16_t	
[33]	128	0x20000042	uint16_t	
[34]	77	0x20000044	uint16_t	
[35]	93	0x20000046	uint16_t	
[36]	118	0x20000048	uint16_t	
[37]	160	0x2000004A	uint16_t	
[38]	122	0x2000004C	uint16_t	
[39]	151	0x2000004E	uint16_t	
[40]	131	0x20000050	uint16_t	
[41]	89	0x20000052	uint16_t	
[42]	99	0x20000054	uint16_t	
[43]	118	0x20000056	uint16_t	
[44]	160	0x20000058	uint16_t	
[45]	123	0x2000005A	uint16_t	
[46]	155	0x2000005C	uint16_t	
[47]	122	0x2000005E	uint16_t	
[48]	151	0x20000060	uint16_t	
[49]	131	0x20000062	uint16_t	
[50]	88	0x20000064	uint16_t	
[51]	96	0x20000066	uint16_t	
[52]	107	0x20000068	uint16_t	
[53]	131	0x2000006A	uint16_t	
[54]	88	0x2000006C	uint16_t	
[55]	96	0x2000006E	uint16_t	
[56]	107	0x20000070	uint16_t	
[57]	130	0x20000072	uint16_t	
[58]	84	0x20000074	uint16_t	
[59]	99	0x20000076	uint16_t	
[60]	119	0x20000078	uint16_t	
