Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[2048]	
[0]	4095	0x20000000	uint16_t	
[1]	3415	0x20000002	uint16_t	
[2]	615	0x20000004	uint16_t	
[3]	2350	0x20000006	uint16_t	
[4]	1743	0x20000008	uint16_t	
[5]	1187	0x2000000A	uint16_t	
[6]	1369	0x2000000C	uint16_t	
[7]	3297	0x2000000E	uint16_t	
[8]	2764	0x20000010	uint16_t	
[9]	2745	0x20000012	uint16_t	
[10]	1781	0x20000014	uint16_t	
[11]	3280	0x20000016	uint16_t	
[12]	2330	0x20000018	uint16_t	
[13]	2691	0x2000001A	uint16_t	
[14]	2841	0x2000001C	uint16_t	
[15]	3469	0x2000001E	uint16_t	
[16]	3607	0x20000020	uint16_t	
[17]	1034	0x20000022	uint16_t	
[18]	2023	0x20000024	uint16_t	
[19]	3622	0x20000026	uint16_t	
[20]	4095	0x20000028	uint16_t	
[21]	2461	0x2000002A	uint16_t	
[22]	1832	0x2000002C	uint16_t	
[23]	859	0x2000002E	uint16_t	
[24]	3499	0x20000030	uint16_t	
[25]	4005	0x20000032	uint16_t	
[26]	2743	0x20000034	uint16_t	
[27]	2607	0x20000036	uint16_t	
[28]	2377	0x20000038	uint16_t	
[29]	1801	0x2000003A	uint16_t	
[30]	2054	0x2000003C	uint16_t	
[31]	3189	0x2000003E	uint16_t	
[32]	3299	0x20000040	uint16_t	
[33]	3305	0x20000042	uint16_t	
[34]	3768	0x20000044	uint16_t	
[35]	765	0x20000046	uint16_t	
[36]	2487	0x20000048	uint16_t	
[37]	3053	0x2000004A	uint16_t	
[38]	1758	0x2000004C	uint16_t	
[39]	2895	0x2000004E	uint16_t	
[40]	2401	0x20000050	uint16_t	
[41]	1943	0x20000052	uint16_t	
[42]	3321	0x20000054	uint16_t	
[43]	3092	0x20000056	uint16_t	
[44]	3175	0x20000058	uint16_t	
[45]	3583	0x2000005A	uint16_t	
[46]	3845	0x2000005C	uint16_t	
[47]	2080	0x2000005E	uint16_t	
[48]	3090	0x20000060	uint16_t	
[49]	4095	0x20000062	uint16_t	
[50]	3433	0x20000064	uint16_t	
[51]	2164	0x20000066	uint16_t	
[52]	2715	0x20000068	uint16_t	
[53]	2071	0x2000006A	uint16_t	
[54]	2557	0x2000006C	uint16_t	
[55]	3413	0x2000006E	uint16_t	
[56]	4095	0x20000070	uint16_t	
[57]	4095	0x20000072	uint16_t	
[58]	2033	0x20000074	uint16_t	
[59]	2724	0x20000076	uint16_t	
[60]	2283	0x20000078	uint16_t	
[61]	4095	0x2000007A	uint16_t	
[62]	3740	0x2000007C	uint16_t	
[63]	987	0x2000007E	uint16_t	
[64]	3745	0x20000080	uint16_t	
[65]	3287	0x20000082	uint16_t	
[66]	3432	0x20000084	uint16_t	
[67]	3398	0x20000086	uint16_t	
[68]	2227	0x20000088	uint16_t	
[69]	2989	0x2000008A	uint16_t	
[70]	4082	0x2000008C	uint16_t	
[71]	3557	0x2000008E	uint16_t	
[72]	854	0x20000090	uint16_t	
[73]	3291	0x20000092	uint16_t	
[74]	3578	0x20000094	uint16_t	
[75]	3297	0x20000096	uint16_t	
[76]	2953	0x20000098	uint16_t	
[77]	3505	0x2000009A	uint16_t	
[78]	2924	0x2000009C	uint16_t	
[79]	761	0x2000009E	uint16_t	
[80]	3677	0x200000A0	uint16_t	
[81]	1473	0x200000A2	uint16_t	
[82]	1913	0x200000A4	uint16_t	
[83]	2261	0x200000A6	uint16_t	
[84]	2987	0x200000A8	uint16_t	
[85]	3751	0x200000AA	uint16_t	
[86]	3389	0x200000AC	uint16_t	
[87]	3413	0x200000AE	uint16_t	
[88]	4095	0x200000B0	uint16_t	
[89]	3883	0x200000B2	uint16_t	
[90]	2440	0x200000B4	uint16_t	
[91]	1212	0x200000B6	uint16_t	
[92]	1820	0x200000B8	uint16_t	
[93]	2557	0x200000BA	uint16_t	
[94]	2991	0x200000BC	uint16_t	
[95]	1983	0x200000BE	uint16_t	
[96]	2725	0x200000C0	uint16_t	
[97]	2939	0x200000C2	uint16_t	
[98]	2920	0x200000C4	uint16_t	
[99]	4095	0x200000C6	uint16_t	
[100]	3035	0x200000C8	uint16_t	
[101]	869	0x200000CA	uint16_t	
[102]	3632	0x200000CC	uint16_t	
[103]	3610	0x200000CE	uint16_t	
[104]	4095	0x200000D0	uint16_t	
[105]	2552	0x200000D2	uint16_t	
[106]	3317	0x200000D4	uint16_t	
[107]	3319	0x200000D6	uint16_t	
[108]	3543	0x200000D8	uint16_t	
[109]	3663	0x200000DA	uint16_t	
[110]	3739	0x200000DC	uint16_t	
[111]	2177	0x200000DE	uint16_t	
[112]	2497	0x200000E0	uint16_t	
[113]	3337	0x200000E2	uint16_t	
[114]	3285	0x200000E4	uint16_t	
[115]	3299	0x200000E6	uint16_t	
