Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20000000	uint16_t[3000]	
[0]	1185	0x20000000	uint16_t	
[1]	1185	0x20000002	uint16_t	
[2]	1346	0x20000004	uint16_t	
[3]	1277	0x20000006	uint16_t	
[4]	1271	0x20000008	uint16_t	
[5]	1159	0x2000000A	uint16_t	
[6]	1035	0x2000000C	uint16_t	
[7]	981	0x2000000E	uint16_t	
[8]	1045	0x20000010	uint16_t	
[9]	1195	0x20000012	uint16_t	
[10]	1331	0x20000014	uint16_t	
[11]	1383	0x20000016	uint16_t	
[12]	1311	0x20000018	uint16_t	
[13]	1193	0x2000001A	uint16_t	
[14]	1089	0x2000001C	uint16_t	
[15]	1069	0x2000001E	uint16_t	
[16]	1151	0x20000020	uint16_t	
[17]	1271	0x20000022	uint16_t	
[18]	1359	0x20000024	uint16_t	
[19]	1347	0x20000026	uint16_t	
[20]	1274	0x20000028	uint16_t	
[21]	1181	0x2000002A	uint16_t	
[22]	1129	0x2000002C	uint16_t	
[23]	1144	0x2000002E	uint16_t	
[24]	1223	0x20000030	uint16_t	
[25]	1314	0x20000032	uint16_t	
[26]	1349	0x20000034	uint16_t	
[27]	1323	0x20000036	uint16_t	
[28]	1250	0x20000038	uint16_t	
[29]	1186	0x2000003A	uint16_t	
[30]	1172	0x2000003C	uint16_t	
[31]	1203	0x2000003E	uint16_t	
[32]	1261	0x20000040	uint16_t	
[33]	1328	0x20000042	uint16_t	
[34]	1326	0x20000044	uint16_t	
[35]	1280	0x20000046	uint16_t	
[36]	1230	0x20000048	uint16_t	
[37]	1196	0x2000004A	uint16_t	
[38]	1202	0x2000004C	uint16_t	
[39]	1232	0x2000004E	uint16_t	
[40]	1277	0x20000050	uint16_t	
[41]	1304	0x20000052	uint16_t	
[42]	1295	0x20000054	uint16_t	
[43]	1274	0x20000056	uint16_t	
[44]	1242	0x20000058	uint16_t	
[45]	1216	0x2000005A	uint16_t	
[46]	1204	0x2000005C	uint16_t	
[47]	1230	0x2000005E	uint16_t	
[48]	1263	0x20000060	uint16_t	
[49]	1303	0x20000062	uint16_t	
[50]	1310	0x20000064	uint16_t	
[51]	1293	0x20000066	uint16_t	
[52]	1261	0x20000068	uint16_t	
[53]	1224	0x2000006A	uint16_t	
[54]	1209	0x2000006C	uint16_t	
[55]	1219	0x2000006E	uint16_t	
[56]	1246	0x20000070	uint16_t	
[57]	1295	0x20000072	uint16_t	
[58]	1323	0x20000074	uint16_t	
[59]	1300	0x20000076	uint16_t	
[60]	1250	0x20000078	uint16_t	
[61]	1205	0x2000007A	uint16_t	
[62]	1188	0x2000007C	uint16_t	
[63]	1209	0x2000007E	uint16_t	
[64]	1273	0x20000080	uint16_t	
[65]	1309	0x20000082	uint16_t	
[66]	1329	0x20000084	uint16_t	
[67]	1290	0x20000086	uint16_t	
[68]	1233	0x20000088	uint16_t	
[69]	1193	0x2000008A	uint16_t	
[70]	1203	0x2000008C	uint16_t	
[71]	1230	0x2000008E	uint16_t	
[72]	1293	0x20000090	uint16_t	
[73]	1329	0x20000092	uint16_t	
[74]	1315	0x20000094	uint16_t	
[75]	1263	0x20000096	uint16_t	
[76]	1214	0x20000098	uint16_t	
[77]	1181	0x2000009A	uint16_t	
[78]	1200	0x2000009C	uint16_t	
[79]	1255	0x2000009E	uint16_t	
[80]	1309	0x200000A0	uint16_t	
[81]	1330	0x200000A2	uint16_t	
[82]	1307	0x200000A4	uint16_t	
[83]	1251	0x200000A6	uint16_t	
[84]	1195	0x200000A8	uint16_t	
[85]	1176	0x200000AA	uint16_t	
[86]	1205	0x200000AC	uint16_t	
[87]	1259	0x200000AE	uint16_t	
[88]	1310	0x200000B0	uint16_t	
[89]	1324	0x200000B2	uint16_t	
[90]	1289	0x200000B4	uint16_t	
[91]	1236	0x200000B6	uint16_t	
[92]	1189	0x200000B8	uint16_t	
[93]	1171	0x200000BA	uint16_t	
[94]	1208	0x200000BC	uint16_t	
[95]	1267	0x200000BE	uint16_t	
[96]	1319	0x200000C0	uint16_t	
[97]	1306	0x200000C2	uint16_t	
[98]	1284	0x200000C4	uint16_t	
[99]	1232	0x200000C6	uint16_t	
[100]	1198	0x200000C8	uint16_t	
[101]	1202	0x200000CA	uint16_t	
[102]	1229	0x200000CC	uint16_t	
[103]	1273	0x200000CE	uint16_t	
[104]	1299	0x200000D0	uint16_t	
[105]	1309	0x200000D2	uint16_t	
[106]	1280	0x200000D4	uint16_t	
[107]	1241	0x200000D6	uint16_t	
[108]	1218	0x200000D8	uint16_t	
[109]	1222	0x200000DA	uint16_t	
[110]	1233	0x200000DC	uint16_t	
[111]	1264	0x200000DE	uint16_t	
[112]	1290	0x200000E0	uint16_t	
[113]	1302	0x200000E2	uint16_t	
[114]	1280	0x200000E4	uint16_t	
[115]	1242	0x200000E6	uint16_t	
