Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20001000	uint16_t[1024]	
[0]	1221	0x20001000	uint16_t	
[1]	1128	0x20001002	uint16_t	
[2]	952	0x20001004	uint16_t	
[3]	1024	0x20001006	uint16_t	
[4]	1155	0x20001008	uint16_t	
[5]	1282	0x2000100A	uint16_t	
[6]	1300	0x2000100C	uint16_t	
[7]	1242	0x2000100E	uint16_t	
[8]	1140	0x20001010	uint16_t	
[9]	1067	0x20001012	uint16_t	
[10]	1074	0x20001014	uint16_t	
[11]	1162	0x20001016	uint16_t	
[12]	1265	0x20001018	uint16_t	
[13]	1343	0x2000101A	uint16_t	
[14]	1348	0x2000101C	uint16_t	
[15]	1291	0x2000101E	uint16_t	
[16]	1168	0x20001020	uint16_t	
[17]	1102	0x20001022	uint16_t	
[18]	1114	0x20001024	uint16_t	
[19]	1196	0x20001026	uint16_t	
[20]	1305	0x20001028	uint16_t	
[21]	1385	0x2000102A	uint16_t	
[22]	1358	0x2000102C	uint16_t	
[23]	1264	0x2000102E	uint16_t	
[24]	1166	0x20001030	uint16_t	
[25]	1110	0x20001032	uint16_t	
[26]	1138	0x20001034	uint16_t	
[27]	1244	0x20001036	uint16_t	
[28]	1335	0x20001038	uint16_t	
[29]	1418	0x2000103A	uint16_t	
[30]	1351	0x2000103C	uint16_t	
[31]	1260	0x2000103E	uint16_t	
[32]	1149	0x20001040	uint16_t	
[33]	1134	0x20001042	uint16_t	
[34]	1165	0x20001044	uint16_t	
[35]	1281	0x20001046	uint16_t	
[36]	1396	0x20001048	uint16_t	
[37]	1426	0x2000104A	uint16_t	
[38]	1346	0x2000104C	uint16_t	
[39]	1225	0x2000104E	uint16_t	
[40]	1145	0x20001050	uint16_t	
[41]	1120	0x20001052	uint16_t	
[42]	1199	0x20001054	uint16_t	
[43]	1317	0x20001056	uint16_t	
[44]	1399	0x20001058	uint16_t	
[45]	1394	0x2000105A	uint16_t	
[46]	1309	0x2000105C	uint16_t	
[47]	1207	0x2000105E	uint16_t	
[48]	1121	0x20001060	uint16_t	
[49]	1141	0x20001062	uint16_t	
[50]	1234	0x20001064	uint16_t	
[51]	1364	0x20001066	uint16_t	
[52]	1410	0x20001068	uint16_t	
[53]	1372	0x2000106A	uint16_t	
[54]	1288	0x2000106C	uint16_t	
[55]	1187	0x2000106E	uint16_t	
[56]	1144	0x20001070	uint16_t	
[57]	1159	0x20001072	uint16_t	
[58]	1277	0x20001074	uint16_t	
[59]	1366	0x20001076	uint16_t	
[60]	1405	0x20001078	uint16_t	
[61]	1334	0x2000107A	uint16_t	
[62]	1245	0x2000107C	uint16_t	
[63]	1173	0x2000107E	uint16_t	
[64]	1154	0x20001080	uint16_t	
[65]	1210	0x20001082	uint16_t	
[66]	1300	0x20001084	uint16_t	
[67]	1368	0x20001086	uint16_t	
[68]	1370	0x20001088	uint16_t	
[69]	1324	0x2000108A	uint16_t	
[70]	1224	0x2000108C	uint16_t	
[71]	1167	0x2000108E	uint16_t	
[72]	1179	0x20001090	uint16_t	
[73]	1233	0x20001092	uint16_t	
[74]	1306	0x20001094	uint16_t	
[75]	1353	0x20001096	uint16_t	
[76]	1346	0x20001098	uint16_t	
[77]	1288	0x2000109A	uint16_t	
[78]	1221	0x2000109C	uint16_t	
[79]	1185	0x2000109E	uint16_t	
[80]	1190	0x200010A0	uint16_t	
[81]	1249	0x200010A2	uint16_t	
[82]	1322	0x200010A4	uint16_t	
[83]	1353	0x200010A6	uint16_t	
[84]	1312	0x200010A8	uint16_t	
[85]	1267	0x200010AA	uint16_t	
[86]	1219	0x200010AC	uint16_t	
[87]	1180	0x200010AE	uint16_t	
[88]	1203	0x200010B0	uint16_t	
[89]	1267	0x200010B2	uint16_t	
[90]	1317	0x200010B4	uint16_t	
[91]	1338	0x200010B6	uint16_t	
[92]	1318	0x200010B8	uint16_t	
[93]	1255	0x200010BA	uint16_t	
[94]	1209	0x200010BC	uint16_t	
[95]	1181	0x200010BE	uint16_t	
[96]	1218	0x200010C0	uint16_t	
[97]	1260	0x200010C2	uint16_t	
[98]	1322	0x200010C4	uint16_t	
[99]	1324	0x200010C6	uint16_t	
[100]	1300	0x200010C8	uint16_t	
[101]	1247	0x200010CA	uint16_t	
[102]	1208	0x200010CC	uint16_t	
[103]	1196	0x200010CE	uint16_t	
[104]	1228	0x200010D0	uint16_t	
[105]	1283	0x200010D2	uint16_t	
[106]	1327	0x200010D4	uint16_t	
[107]	1335	0x200010D6	uint16_t	
[108]	1292	0x200010D8	uint16_t	
[109]	1235	0x200010DA	uint16_t	
[110]	1202	0x200010DC	uint16_t	
[111]	1196	0x200010DE	uint16_t	
[112]	1245	0x200010E0	uint16_t	
[113]	1290	0x200010E2	uint16_t	
[114]	1341	0x200010E4	uint16_t	
[115]	1330	0x200010E6	uint16_t	
