Expression	Value	Location	Type	
sinus	Error (col 1): Unknown or ambiguous symbol. sinus			
GPIOB_DATA	Error (col 1): Unknown or ambiguous symbol. GPIOB_DATA			
DATA	Error (col 1): Unknown or ambiguous symbol. DATA			
tempc	Error (col 1): Unknown or ambiguous symbol. tempc			
adc_buffer	<array>	0x20001000	uint16_t[1024]	
adc_res	Error (col 1): Unknown or ambiguous symbol. adc_res			
NewSample	Error (col 1): Unknown or ambiguous symbol. NewSample			
OUT	<array>	0x20000000	float[1024]	
[0]	2.09954076E+36	0x20000000	float	
[1]	2.0655328644E+36	0x20000004	float	
[2]	2.16576663E+36	0x20000008	float	
[3]	2.32685681E+36	0x2000000C	float	
[4]	2.44856933E+36	0x20000010	float	
[5]	2.45214902E+36	0x20000014	float	
[6]	2.36981416E+36	0x20000018	float	
[7]	2.1908252311E+36	0x2000001C	float	
[8]	2.0888013833E+36	0x20000020	float	
[9]	2.11028013E+36	0x20000024	float	
[10]	2.20693421E+36	0x20000028	float	
[11]	2.3375961944E+36	0x2000002C	float	
[12]	2.4217209744E+36	0x20000030	float	
[13]	2.4091916744E+36	0x20000034	float	
[14]	2.3053780622E+36	0x20000038	float	
[15]	2.1854554633E+36	0x2000003C	float	
[16]	2.12101951E+36	0x20000040	float	
[17]	2.12996897E+36	0x20000044	float	
[18]	2.23557234E+36	0x20000048	float	
[19]	2.3662343222E+36	0x2000004C	float	
[20]	2.4217209744E+36	0x20000050	float	
[21]	2.3483354133E+36	0x20000054	float	
[22]	2.26779047E+36	0x20000058	float	
[23]	2.18187577E+36	0x2000005C	float	
[24]	2.11207006E+36	0x20000060	float	
[25]	2.15323749E+36	0x20000064	float	
[26]	2.26779047E+36	0x20000068	float	
[27]	2.35728486E+36	0x2000006C	float	
[28]	2.39487261E+36	0x20000070	float	
[29]	2.35907479E+36	0x20000074	float	
[30]	2.2463117233E+36	0x20000078	float	
[31]	2.16397686E+36	0x2000007C	float	
[32]	2.1138598244E+36	0x20000080	float	
[33]	2.1800858533E+36	0x20000084	float	
[34]	2.25526117E+36	0x20000088	float	
[35]	2.3662343222E+36	0x2000008C	float	
[36]	2.36981416E+36	0x20000090	float	
[37]	2.32685681E+36	0x20000094	float	
[38]	2.23199266E+36	0x20000098	float	
[39]	2.1621869444E+36	0x2000009C	float	
[40]	2.14070819E+36	0x200000A0	float	
[41]	2.1979847633E+36	0x200000A4	float	
[42]	2.2964286E+36	0x200000A8	float	
[43]	2.37518377E+36	0x200000AC	float	
[44]	2.389503E+36	0x200000B0	float	
[45]	2.3125377522E+36	0x200000B4	float	
[46]	2.2105139044E+36	0x200000B8	float	
[47]	2.15144756E+36	0x200000BC	float	
[48]	2.14070819E+36	0x200000C0	float	
[49]	2.2284128144E+36	0x200000C4	float	
[50]	2.3089579E+36	0x200000C8	float	
[51]	2.40024222E+36	0x200000CC	float	
[52]	2.38055354E+36	0x200000D0	float	
[53]	2.29284892E+36	0x200000D4	float	
[54]	2.19977468E+36	0x200000D8	float	
[55]	2.15144756E+36	0x200000DC	float	
[56]	2.1621869444E+36	0x200000E0	float	
[57]	2.20693421E+36	0x200000E4	float	
[58]	2.3375961944E+36	0x200000E8	float	
[59]	2.38234331E+36	0x200000EC	float	
[60]	2.33938595E+36	0x200000F0	float	
[61]	2.2463117233E+36	0x200000F4	float	
[62]	2.16576663E+36	0x200000F8	float	
[63]	2.15323749E+36	0x200000FC	float	
[64]	2.1854554633E+36	0x20000100	float	
[65]	2.2821095433E+36	0x20000104	float	
[66]	2.3411758811E+36	0x20000108	float	
[67]	2.3787636233E+36	0x2000010C	float	
[68]	2.29821853E+36	0x20000110	float	
[69]	2.19619484E+36	0x20000114	float	
[70]	2.1317587344E+36	0x20000118	float	
[71]	2.15860709E+36	0x2000011C	float	
[72]	2.2284128144E+36	0x20000120	float	
[73]	2.3071679844E+36	0x20000124	float	
[74]	2.35728486E+36	0x20000128	float	
[75]	2.3304365033E+36	0x2000012C	float	
[76]	2.27316008E+36	0x20000130	float	
[77]	2.21230382E+36	0x20000134	float	
[78]	2.16934647E+36	0x20000138	float	
[79]	2.1908252311E+36	0x2000013C	float	
[80]	2.25526117E+36	0x20000140	float	
[81]	2.3196972844E+36	0x20000144	float	
[82]	2.3554951044E+36	0x20000148	float	
[83]	2.3375961944E+36	0x2000014C	float	
[84]	2.25526117E+36	0x20000150	float	
[85]	2.18366554E+36	0x20000154	float	
[86]	2.15860709E+36	0x20000158	float	
[87]	2.19977468E+36	0x2000015C	float	
[88]	2.26600055E+36	0x20000160	float	
[89]	2.32148705E+36	0x20000164	float	
[90]	2.3608647133E+36	0x20000168	float	
[91]	2.3053780622E+36	0x2000016C	float	
[92]	2.2230432044E+36	0x20000170	float	
[93]	2.1890353E+36	0x20000174	float	
[94]	2.20693421E+36	0x20000178	float	
[95]	2.24989157E+36	0x2000017C	float	
[96]	2.3053780622E+36	0x20000180	float	
[97]	2.27495001E+36	0x20000184	float	
[98]	2.23557234E+36	0x20000188	float	
[99]	2.2588410244E+36	0x2000018C	float	
[100]	2.33401635E+36	0x20000190	float	
